user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
196,40959,5357,2151,140174,347,1627,430,74754,88356,3074
169,183897,2488,140247,26810,1353,829,107702,4442,5147,127136
584,156609,3738,1964,86290,3342,52241,2899,34530,99106,3758
136,3738,78266,7116,1934,178061,1366,6650,2356,2877,2764
332,5181,86059,151315,141830,120478,26184,107997,93831,2977,100507
267,134170,58315,46572,128975,2107,4622,4765,4433,110127,7018
481,6093,250,87413,171867,61236,4735,173145,177763,879,73290
43,3927,73042,176101,73015,34530,127052,1043,71254,79134,70984
19,160565,73319,7067,8327,91079,81819,1051,167036,155288,39715
590,27193,484,140711,109569,73319,8605,86059,125916,50189,73042
